Player Id,Name,Position,Year,Season,Week,Game Date,Home or Away,Opponent,Outcome,Score,Games Played,Games Started
vadalalexander/2555146,"Alexander, Vadal",OG,2016,Regular Season,3,09/25,Away,TEN,W,17 to 10,1,0
vadalalexander/2555146,"Alexander, Vadal",OG,2016,Regular Season,4,10/02,Away,BAL,W,28 to 27,1,1
vadalalexander/2555146,"Alexander, Vadal",OG,2016,Regular Season,5,10/09,Home,SD,W,34 to 31,1,1
vadalalexander/2555146,"Alexander, Vadal",OG,2016,Regular Season,6,10/16,Home,KC,L,10 to 26,0,0
vadalalexander/2555146,"Alexander, Vadal",OG,2016,Regular Season,7,10/23,Away,JAX,W,33 to 16,0,0
vadalalexander/2555146,"Alexander, Vadal",OG,2016,Regular Season,8,10/30,Away,TB,W,30 to 24,1,0
vadalalexander/2555146,"Alexander, Vadal",OG,2016,Regular Season,9,11/06,Home,DEN,W,30 to 20,0,0
vadalalexander/2555146,"Alexander, Vadal",OG,2016,Regular Season,11,11/21,Home,HOU,W,27 to 20,0,0
vadalalexander/2555146,"Alexander, Vadal",OG,2016,Regular Season,12,11/27,Home,CAR,W,35 to 32,0,0
vadalalexander/2555146,"Alexander, Vadal",OG,2016,Regular Season,13,12/04,Home,BUF,W,38 to 24,1,1
vadalalexander/2555146,"Alexander, Vadal",OG,2016,Regular Season,14,12/08,Away,KC,L,13 to 21,1,1
vadalalexander/2555146,"Alexander, Vadal",OG,2016,Regular Season,15,12/18,Away,SD,W,19 to 16,0,0
vadalalexander/2555146,"Alexander, Vadal",OG,2016,Regular Season,16,12/24,Home,IND,W,33 to 25,1,0
vadalalexander/2555146,"Alexander, Vadal",OG,2016,Regular Season,17,01/01,Away,DEN,L,6 to 24,1,1
vadalalexander/2555146,"Alexander, Vadal",OG,2016,Postseason,18,01/07,Away,HOU,L,14 to 27,0,0
brianallen/2560954,"Allen, Brian",C,2018,Preseason,1,08/09,Away,BAL,L,7 to 33,1,0
brianallen/2560954,"Allen, Brian",C,2018,Preseason,2,08/18,Home,OAK,W,19 to 15,1,1
dejonallen/2561176,"Allen, Dejon",OT,2018,Preseason,0,08/02,Away,BAL,L,16 to 17,1,0
dejonallen/2561176,"Allen, Dejon",OT,2018,Preseason,1,08/09,Away,CIN,L,27 to 30,1,0
dejonallen/2561176,"Allen, Dejon",OT,2018,Preseason,2,08/18,Away,DEN,W,24 to 23,1,0
jackallen/2556720,"Allen, Jack",C,2018,Preseason,0,08/02,Away,BAL,L,16 to 17,1,0
jackallen/2556720,"Allen, Jack",C,2017,Preseason,1,08/10,Away,CLE,L,14 to 20,1,0
jackallen/2556720,"Allen, Jack",C,2017,Preseason,2,08/20,Away,LAC,W,13 to 7,0,0
jackallen/2556720,"Allen, Jack",C,2016,Preseason,1,08/11,Away,NE,L,22 to 34,1,0
jackallen/2556720,"Allen, Jack",C,2016,Preseason,2,08/20,Away,HOU,L,9 to 16,1,0
jackallen/2556720,"Allen, Jack",C,2016,Preseason,3,08/26,Home,PIT,L,14 to 27,1,0
jackallen/2556720,"Allen, Jack",C,2016,Preseason,4,09/01,Home,BAL,L,14 to 23,1,0
jackallen/2556720,"Allen, Jack",C,2016,Regular Season,14,12/11,Away,TB,L,11 to 16,0,0
jackallen/2556720,"Allen, Jack",C,2016,Regular Season,15,12/18,Away,ARI,W,48 to 41,0,0
jackallen/2556720,"Allen, Jack",C,2016,Regular Season,16,12/24,Home,TB,W,31 to 24,0,0
jackallen/2556720,"Allen, Jack",C,2016,Regular Season,17,01/01,Away,ATL,L,32 to 38,0,0
joshallen/2550472,"Allen, Josh",C,2018,Preseason,1,08/11,Home,LAC,W,24 to 17,1,0
joshallen/2550472,"Allen, Josh",C,2018,Preseason,2,08/17,Away,NO,W,20 to 15,1,0
joshallen/2550472,"Allen, Josh",C,2017,Preseason,1,08/11,Away,CIN,L,12 to 23,1,0
joshallen/2550472,"Allen, Josh",C,2017,Preseason,2,08/17,Away,JAX,W,12 to 8,1,0
joshallen/2550472,"Allen, Josh",C,2017,Preseason,3,08/26,Home,CLE,L,9 to 13,1,0
joshallen/2550472,"Allen, Josh",C,2017,Preseason,4,08/31,Home,WAS,L,10 to 13,1,1
joshallen/2550472,"Allen, Josh",C,2016,Preseason,1,08/11,Away,PHI,L,9 to 17,1,0
joshallen/2550472,"Allen, Josh",C,2016,Preseason,2,08/20,Away,JAX,W,27 to 21,1,0
joshallen/2550472,"Allen, Josh",C,2016,Preseason,3,08/26,Home,CLE,W,30 to 13,1,1
joshallen/2550472,"Allen, Josh",C,2016,Preseason,4,08/31,Home,WAS,L,13 to 20,1,1
joshallen/2550472,"Allen, Josh",C,2016,Regular Season,12,11/27,Home,SEA,W,14 to 5,0,0
joshallen/2550472,"Allen, Josh",C,2016,Regular Season,13,12/04,Away,SD,W,28 to 21,0,0
joshallen/2550472,"Allen, Josh",C,2016,Regular Season,15,12/18,Away,ATL,L,13 to 41,0,0
joshallen/2550472,"Allen, Josh",C,2015,Preseason,1,08/15,Away,MIN,L,16 to 26,0,0
joshallen/2550472,"Allen, Josh",C,2015,Preseason,2,08/24,Home,CIN,W,25 to 11,0,0
joshallen/2550472,"Allen, Josh",C,2015,Preseason,3,08/29,Home,CLE,L,7 to 31,0,0
joshallen/2550472,"Allen, Josh",C,2014,Preseason,1,08/08,Away,JAC,L,10 to 16,1,0
joshallen/2550472,"Allen, Josh",C,2014,Preseason,2,08/16,Home,MIA,L,14 to 20,1,0
joshallen/2550472,"Allen, Josh",C,2014,Preseason,3,08/23,Away,BUF,W,27 to 14,1,0
joshallen/2550472,"Allen, Josh",C,2014,Preseason,4,08/28,Home,WAS,L,10 to 24,1,1
joshallen/2550472,"Allen, Josh",C,2014,Regular Season,13,11/30,Home,CIN,L,13 to 14,0,0
joshallen/2550472,"Allen, Josh",C,2014,Regular Season,14,12/07,Away,DET,L,17 to 34,0,0
joshallen/2550472,"Allen, Josh",C,2014,Regular Season,15,12/14,Away,CAR,L,17 to 19,1,0
joshallen/2550472,"Allen, Josh",C,2014,Regular Season,16,12/21,Home,GB,L,3 to 20,1,0
joshallen/2550472,"Allen, Josh",C,2014,Regular Season,17,12/28,Home,NO,L,20 to 23,1,0
jacobalsadek/2561178,"Alsadek, Jacob",OG,2018,Preseason,2,08/18,Home,CIN,L,13 to 21,1,0
kofiamichia/2558855,"Amichia, Kofi",OG,2018,Preseason,1,08/09,Home,TEN,W,31 to 17,1,0
kofiamichia/2558855,"Amichia, Kofi",OG,2018,Preseason,2,08/16,Home,PIT,W,51 to 34,1,0
kofiamichia/2558855,"Amichia, Kofi",OG,2017,Preseason,1,08/10,Home,PHI,W,24 to 9,1,0
kofiamichia/2558855,"Amichia, Kofi",OG,2017,Preseason,2,08/19,Away,WAS,W,21 to 17,1,0
kofiamichia/2558855,"Amichia, Kofi",OG,2017,Preseason,3,08/26,Away,DEN,L,17 to 20,1,0
kofiamichia/2558855,"Amichia, Kofi",OG,2017,Preseason,4,08/31,Home,LA,W,24 to 10,1,1
davidandrews/2553632,"Andrews, David",C,2018,Preseason,1,08/09,Home,WAS,W,26 to 17,1,1
davidandrews/2553632,"Andrews, David",C,2018,Preseason,2,08/16,Home,PHI,W,37 to 20,1,1
davidandrews/2553632,"Andrews, David",C,2017,Preseason,1,08/10,Home,JAX,L,24 to 31,0,0
davidandrews/2553632,"Andrews, David",C,2017,Preseason,2,08/19,Away,HOU,L,23 to 27,1,1
davidandrews/2553632,"Andrews, David",C,2017,Preseason,3,08/25,Away,DET,W,30 to 28,1,1
davidandrews/2553632,"Andrews, David",C,2017,Preseason,4,08/31,Home,NYG,L,38 to 40,0,0
davidandrews/2553632,"Andrews, David",C,2017,Regular Season,1,09/07,Home,KC,L,27 to 42,1,1
davidandrews/2553632,"Andrews, David",C,2017,Regular Season,2,09/17,Away,NO,W,36 to 20,1,1
davidandrews/2553632,"Andrews, David",C,2017,Regular Season,3,09/24,Home,HOU,W,36 to 33,1,1
davidandrews/2553632,"Andrews, David",C,2017,Regular Season,4,10/01,Home,CAR,L,30 to 33,1,1
davidandrews/2553632,"Andrews, David",C,2017,Regular Season,5,10/05,Away,TB,W,19 to 14,1,1
davidandrews/2553632,"Andrews, David",C,2017,Regular Season,6,10/15,Away,NYJ,W,24 to 17,1,1
davidandrews/2553632,"Andrews, David",C,2017,Regular Season,7,10/22,Home,ATL,W,23 to 7,1,1
davidandrews/2553632,"Andrews, David",C,2017,Regular Season,8,10/29,Home,LAC,W,21 to 13,1,1
davidandrews/2553632,"Andrews, David",C,2017,Regular Season,10,11/12,Away,DEN,W,41 to 16,1,1
davidandrews/2553632,"Andrews, David",C,2017,Regular Season,11,11/19,Away,OAK,W,33 to 8,0,0
davidandrews/2553632,"Andrews, David",C,2017,Regular Season,12,11/26,Home,MIA,W,35 to 17,0,0
davidandrews/2553632,"Andrews, David",C,2017,Regular Season,13,12/03,Away,BUF,W,23 to 3,1,1
davidandrews/2553632,"Andrews, David",C,2017,Regular Season,14,12/11,Away,MIA,L,20 to 27,1,1
davidandrews/2553632,"Andrews, David",C,2017,Regular Season,15,12/17,Away,PIT,W,27 to 24,1,1
davidandrews/2553632,"Andrews, David",C,2017,Regular Season,16,12/24,Home,BUF,W,37 to 16,1,1
davidandrews/2553632,"Andrews, David",C,2017,Regular Season,17,12/31,Home,NYJ,W,26 to 6,1,1
davidandrews/2553632,"Andrews, David",C,2017,Postseason,19,01/13,Home,TEN,W,35 to 14,1,1
davidandrews/2553632,"Andrews, David",C,2017,Postseason,20,01/21,Home,JAX,W,24 to 20,1,1
davidandrews/2553632,"Andrews, David",C,2017,Postseason,22,02/04,Home,PHI,L,33 to 41,1,1
davidandrews/2553632,"Andrews, David",C,2016,Preseason,1,08/11,Home,NO,W,34 to 22,1,1
davidandrews/2553632,"Andrews, David",C,2016,Preseason,2,08/18,Home,CHI,W,23 to 22,1,1
davidandrews/2553632,"Andrews, David",C,2016,Preseason,3,08/26,Away,CAR,W,19 to 17,1,1
davidandrews/2553632,"Andrews, David",C,2016,Preseason,4,09/01,Away,NYG,L,9 to 17,1,1
davidandrews/2553632,"Andrews, David",C,2016,Regular Season,1,09/11,Away,ARI,W,23 to 21,1,1
davidandrews/2553632,"Andrews, David",C,2016,Regular Season,2,09/18,Home,MIA,W,31 to 24,1,1
davidandrews/2553632,"Andrews, David",C,2016,Regular Season,3,09/22,Home,HOU,W,27 to 0,1,1
davidandrews/2553632,"Andrews, David",C,2016,Regular Season,4,10/02,Home,BUF,L,0 to 16,1,1
davidandrews/2553632,"Andrews, David",C,2016,Regular Season,5,10/09,Away,CLE,W,33 to 13,1,1
davidandrews/2553632,"Andrews, David",C,2016,Regular Season,6,10/16,Home,CIN,W,35 to 17,1,1
davidandrews/2553632,"Andrews, David",C,2016,Regular Season,7,10/23,Away,PIT,W,27 to 16,1,1
davidandrews/2553632,"Andrews, David",C,2016,Regular Season,8,10/30,Away,BUF,W,41 to 25,1,1
davidandrews/2553632,"Andrews, David",C,2016,Regular Season,10,11/13,Home,SEA,L,24 to 31,1,1
davidandrews/2553632,"Andrews, David",C,2016,Regular Season,11,11/20,Away,SF,W,30 to 17,1,1
davidandrews/2553632,"Andrews, David",C,2016,Regular Season,12,11/27,Away,NYJ,W,22 to 17,1,1
davidandrews/2553632,"Andrews, David",C,2016,Regular Season,13,12/04,Home,LA,W,26 to 10,1,1
davidandrews/2553632,"Andrews, David",C,2016,Regular Season,14,12/12,Home,BAL,W,30 to 23,1,1
davidandrews/2553632,"Andrews, David",C,2016,Regular Season,15,12/18,Away,DEN,W,16 to 3,1,1
davidandrews/2553632,"Andrews, David",C,2016,Regular Season,16,12/24,Home,NYJ,W,41 to 3,1,1
davidandrews/2553632,"Andrews, David",C,2016,Regular Season,17,01/01,Away,MIA,W,35 to 14,1,1
davidandrews/2553632,"Andrews, David",C,2016,Postseason,19,01/14,Home,HOU,W,34 to 16,1,1
davidandrews/2553632,"Andrews, David",C,2016,Postseason,20,01/22,Home,PIT,W,36 to 17,1,1
davidandrews/2553632,"Andrews, David",C,2016,Postseason,22,02/05,Away,ATL,W,34 to 28,1,1
davidandrews/2553632,"Andrews, David",C,2015,Preseason,1,08/13,Home,GB,L,11 to 22,1,1
