Player Id,Name,Position,Year,Season,Week,Game Date,Home or Away,Opponent,Outcome,Score,Games Played,Games Started,Receptions,Receiving Yards,Yards Per Reception,Longest Reception,Receiving TDs,Rushing Attempts,Rushing Yards,Yards Per Carry,Longest Rushing Run,Rushing TDs,Fumbles,Fumbles Lost
davanteadams/2543495,"Adams, Davante",WR,2015,Preseason,2,08/23,Away,PIT,L,19 to 24,1,1,0,0,--,--,0,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2015,Preseason,3,08/29,Home,PHI,L,26 to 39,1,1,--,--,--,--,--,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2015,Preseason,4,09/03,Home,NO,W,38 to 10,0,0,--,--,--,--,--,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2015,Regular Season,1,09/13,Away,CHI,W,31 to 23,1,1,4,59,14.8,25,0,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2015,Regular Season,2,09/20,Home,SEA,W,27 to 17,1,1,5,33,6.6,13,0,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2015,Regular Season,3,09/28,Home,KC,W,38 to 28,1,1,0,0,--,--,0,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2015,Regular Season,4,10/04,Away,SF,W,17 to 3,0,0,--,--,--,--,--,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2015,Regular Season,5,10/11,Home,STL,W,24 to 10,0,0,--,--,--,--,--,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2015,Regular Season,6,10/18,Home,SD,W,27 to 20,0,0,--,--,--,--,--,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2015,Regular Season,8,11/01,Away,DEN,L,10 to 29,1,1,1,8,8.0,8,0,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2015,Regular Season,9,11/08,Away,CAR,L,29 to 37,1,1,7,93,13.3,40,0,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2015,Regular Season,10,11/15,Home,DET,L,16 to 18,1,1,10,79,7.9,18,0,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2015,Regular Season,11,11/22,Away,MIN,W,30 to 13,1,1,3,36,12.0,16,0,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2015,Regular Season,12,11/26,Home,CHI,L,13 to 17,1,1,2,14,7.0,8,0,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2015,Regular Season,13,12/03,Away,DET,W,27 to 23,1,1,4,21,5.3,8T,1,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2015,Regular Season,14,12/13,Home,DAL,W,28 to 7,1,1,2,12,6.0,8,0,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2015,Regular Season,15,12/20,Away,OAK,W,30 to 20,1,1,5,32,6.4,8,0,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2015,Regular Season,16,12/27,Away,ARI,L,8 to 38,1,1,3,42,14.0,38,0,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2015,Regular Season,17,01/03,Home,MIN,L,13 to 20,1,0,4,54,13.5,24,0,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2015,Postseason,18,01/10,Away,WAS,W,35 to 18,1,0,4,48,12.0,20,1,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2015,Postseason,19,01/16,Away,ARI,L,20 to 26,0,0,--,--,--,--,--,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2014,Preseason,1,08/09,Away,TEN,L,16 to 20,1,1,2,22,11.0,13,0,--,--,--,--,--,2,1
davanteadams/2543495,"Adams, Davante",WR,2014,Preseason,2,08/16,Away,STL,W,21 to 7,1,0,2,28,14.0,14,0,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2014,Preseason,3,08/22,Home,OAK,W,31 to 21,1,0,0,0,--,--,0,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2014,Preseason,4,08/28,Home,KC,W,34 to 14,1,1,2,35,17.5,22T,1,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2014,Regular Season,1,09/04,Away,SEA,L,16 to 36,1,0,--,--,--,--,--,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2014,Regular Season,2,09/14,Home,NYJ,W,31 to 24,1,0,5,50,10.0,24,0,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2014,Regular Season,3,09/21,Away,DET,L,7 to 19,1,0,2,11,5.5,9,0,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2014,Regular Season,4,09/28,Away,CHI,W,38 to 17,1,0,2,18,9.0,15,0,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2014,Regular Season,5,10/02,Home,MIN,W,42 to 10,1,1,1,11,11.0,11T,1,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2014,Regular Season,6,10/12,Away,MIA,W,27 to 24,1,1,6,77,12.8,24,0,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2014,Regular Season,7,10/19,Home,CAR,W,38 to 17,1,1,1,21,21.0,21T,1,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2014,Regular Season,8,10/26,Away,NO,L,23 to 44,1,1,7,75,10.7,16,0,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2014,Regular Season,10,11/09,Home,CHI,W,55 to 14,1,0,1,10,10.0,10,0,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2014,Regular Season,11,11/16,Home,PHI,W,53 to 20,1,1,2,13,6.5,7,1,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2014,Regular Season,12,11/23,Away,MIN,W,24 to 21,1,1,1,10,10.0,10,0,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2014,Regular Season,13,11/30,Home,NE,W,26 to 21,1,1,6,121,20.2,45,0,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2014,Regular Season,14,12/08,Home,ATL,W,43 to 37,1,1,1,6,6.0,6,0,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2014,Regular Season,15,12/14,Away,BUF,L,13 to 21,1,1,1,6,6.0,6,0,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2014,Regular Season,16,12/21,Away,TB,W,20 to 3,1,1,2,17,8.5,9,0,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2014,Regular Season,17,12/28,Home,DET,W,30 to 20,1,1,--,--,--,--,--,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2014,Postseason,19,01/11,Home,DAL,W,26 to 21,1,1,7,117,16.7,46T,1,--,--,--,--,--,--,--
davanteadams/2543495,"Adams, Davante",WR,2014,Postseason,20,01/18,Away,SEA,L,22 to 28,1,1,1,7,7.0,7,0,--,--,--,--,--,--,--
jerelladams/2555311,"Adams, Jerell",TE,2018,Preseason,1,08/09,Home,CLE,L,10 to 20,1,0,2,6,3.0,6,0,--,--,--,--,--,--,--
jerelladams/2555311,"Adams, Jerell",TE,2018,Preseason,2,08/17,Away,DET,W,30 to 17,1,0,3,31,10.3,16,0,--,--,--,--,--,--,--
jerelladams/2555311,"Adams, Jerell",TE,2017,Preseason,1,08/11,Home,PIT,L,12 to 20,1,0,3,28,9.3,21,0,--,--,--,--,--,--,--
jerelladams/2555311,"Adams, Jerell",TE,2017,Preseason,2,08/21,Away,CLE,L,6 to 10,1,0,0,0,--,--,0,--,--,--,--,--,--,--
jerelladams/2555311,"Adams, Jerell",TE,2017,Preseason,3,08/26,Home,NYJ,W,32 to 31,1,0,1,12,12.0,12,0,--,--,--,--,--,--,--
jerelladams/2555311,"Adams, Jerell",TE,2017,Preseason,4,08/31,Away,NE,W,40 to 38,1,0,1,5,5.0,5,0,--,--,--,--,--,--,--
jerelladams/2555311,"Adams, Jerell",TE,2017,Regular Season,1,09/10,Away,DAL,L,3 to 19,1,0,--,--,--,--,--,--,--,--,--,--,--,--
jerelladams/2555311,"Adams, Jerell",TE,2017,Regular Season,2,09/18,Home,DET,L,10 to 24,1,0,1,38,38.0,38,0,--,--,--,--,--,--,--
jerelladams/2555311,"Adams, Jerell",TE,2017,Regular Season,3,09/24,Away,PHI,L,24 to 27,1,0,--,--,--,--,--,--,--,--,--,--,--,--
jerelladams/2555311,"Adams, Jerell",TE,2017,Regular Season,4,10/01,Away,TB,L,23 to 25,1,0,--,--,--,--,--,--,--,--,--,--,--,--
