Player Id,Name,Current Status,Years Played
vicbeasley/2552301,"Beasley, Vic",Active,
c.j.beathard/2557922,"Beathard, C.J.",Active,
williebeavers/2555208,"Beavers, Willie",Active,
odellbeckham/2543496,"Beckham, Odell",Active,
kendellbeckwith/2557847,"Beckwith, Kendell",Active,
nickbecton/2539660,"Becton, Nick",Active,
chadbeebe/2561482,"Beebe, Chad",Active,
blakebell/2552478,"Bell, Blake",Active,
brandonbell/2558910,"Bell, Brandon",Active,
byronbell/2531030,"Bell, Byron",Active,
kennybell/2552421,"Bell, Kenny",Other,
le'veonbell/2540175,"Bell, Le'Veon",Active,
vonnbell/2555530,"Bell, Vonn",Active,
davinbellamy/2560973,"Bellamy, Davin",Active,
joshbellamy/2535964,"Bellamy, Josh",Active,
b.j.bello/2559141,"Bello, B.J.",Active,
nickbellore/2495262,"Bellore, Nick",Active,
calebbenenoch/2555488,"Benenoch, Caleb",Active,
kelvinbenjamin/2543471,"Benjamin, Kelvin",Active,
travisbenjamin/2532790,"Benjamin, Travis",Active,
kurtbenkert/2560974,"Benkert, Kurt",Active,
michaelbennett/2552733,"Bennett, Michael",Active,
michaelbennett/2507617,"Bennett, Michael",Active,
ja'whaunbentley/2561143,"Bentley, Ja'Whaun",Active,
al-rasheedbenton/2561182,"Benton, Al-Rasheed",Other,
bene'benwikere/2543855,"Benwikere, Bene'",Active,
tonybergstrom/2533010,"Bergstrom, Tony",Active,
natberhe/2543643,"Berhe, Nat",Active,
giovanibernard/2540156,"Bernard, Giovani",Active,
braxtonberrios/2560975,"Berrios, Braxton",Active,
evanberry/2561298,"Berry, Evan",Active,
ericberry/496723,"Berry, Eric",Active,
jordanberry/2553348,"Berry, Jordan",Active,
taylorbertolet/2556472,"Bertolet, Taylor",Active,
antoinebethea/2495807,"Bethea, Antoine",Active,
justinbethel/2532792,"Bethel, Justin",Active,
tyricebeverette/2561299,"Beverette, Tyrice",Active,
kapribibbs/2550542,"Bibbs, Kapri",Active,
vincebiegel/2557906,"Biegel, Vince",Active,
keishawnbierria/2560976,"Bierria, Keishawn",Active,
andrewbillings/2555267,"Billings, Andrew",Active,
jacebillingsley/2556473,"Billingsley, Jace",Active,
freddiebishop/2542053,"Bishop, Freddie",Active,
adambisnowaty/2557834,"Bisnowaty, Adam",Active,
joelbitonio/2543737,"Bitonio, Joel",Active,
justinblackmon/2533038,"Blackmon, Justin",Suspended,
saeedblacknall/2561300,"Blacknall, Saeed",Active,
angeloblackson/2552670,"Blackson, Angelo",Active,
ronaldblair/2555251,"Blair, Ronald",Active,
christianblake/2561443,"Blake, Christian",Active,
quinblanding/2560977,"Blanding, Quin",Active,
alecbloom/2561183,"Bloom, Alec",Active,
legarretteblount/497149,"Blount, LeGarrette",Active,
alfredblue/2543600,"Blue, Alfred",Active,
austinblythe/2555180,"Blythe, Austin",Active,
chrisboard/2561301,"Board, Chris",Active,
c.j.board/2558911,"Board, C.J.",Active,
brycebobo/2560044,"Bobo, Bryce",Active,
brieanboddy-calhoun/2556475,"Boddy-Calhoun, Briean",Active,
russellbodine/2543622,"Bodine, Russell",Active,
evanboehm/2555181,"Boehm, Evan",Active,
moritzboehringer/2556261,"Boehringer, Moritz",Active,
matboesen/2561302,"Boesen, Mat",Active,
ikeboettger/2561303,"Boettger, Ike",Active,
tommybohanon/2540225,"Bohanon, Tommy",Active,
coreybojorquez/2561574,"Bojorquez, Corey",Active,
brandonbolden/2532797,"Bolden, Brandon",Active,
victorbolden/2558912,"Bolden, Victor",Active,
clintboling/2495123,"Boling, Clint",Active,
garettbolles/2558014,"Bolles, Garett",Active,
devantebond/2555307,"Bond, Devante",Active,
deyshawnbond/2558882,"Bond, Deyshawn",Active,
reggiebonnafon/2561184,"Bonnafon, Reggie",Active,
devontaebooker/2555223,"Booker, Devontae",Active,
mikeboone/2561099,"Boone, Mike",Active,
coleboozer/2561185,"Boozer, Cole",Active,
breonborders/2559015,"Borders, Breon",Active,
blakebortles/2543477,"Bortles, Blake",Active,
joeybosa/2555249,"Bosa, Joey",Active,
kylebosch/2561186,"Bosch, Kyle",Active,
mattbosher/2495124,"Bosher, Matt",Active,
jonbostic/2539978,"Bostic, Jon",Active,
treboston/2543830,"Boston, Tre",Active,
chrisboswell/2550545,"Boswell, Chris",Active,
joelbouagnon/2559144,"Bouagnon, Joel",Active,
eliebouka/2556420,"Bouka, Elie",Injured reserve,
kendrickbourne/2558914,"Bourne, Kendrick",Active,
christianboutte/2561674,"Boutte, Christian",Active,
a.j.bouye/2541162,"Bouye, A.J.",Active,
lukebowanko/2550150,"Bowanko, Luke",Active,
kevinbowen/2556407,"Bowen, Kevin",Active,
bobower/2561638,"Bower, Bo",Active,
tashawnbower/2558915,"Bower, Tashawn",Active,
braedonbowman/2556476,"Bowman, Braedon",Active,
tyusbowser/2558166,"Bowser, Tyus",Active,
devonteboyd/2559975,"Boyd, Devonte",Active,
tylerboyd/2555466,"Boyd, Tyler",Active,
paulboyettejr./2559016,"Boyette, Paul Jr.",Other,
jeremyboykins/2559318,"Boykins, Jeremy",Active,
brettboyko/2553694,"Boyko, Brett",Active,
nickboyle/2552402,"Boyle, Nick",Active,
timboyle/2561187,"Boyle, Tim",Active,
bradleybozeman/2559827,"Bozeman, Bradley",Active,
