gameDate,Player Id,Name,Position,Year,Season,Week,Game Date,Home or Away,Opponent,Outcome,Score,Games Played,Games Started,Receptions,Receiving Yards,Yards Per Reception,Longest Reception,Receiving TDs,Rushing Attempts,Rushing Yards,Yards Per Carry,Longest Rushing Run,Rushing TDs,Fumbles,Fumbles Lost
2015-11-08,dwayneallen/2533046,"Allen, Dwayne",TE,2015,Regular Season,9,11/08,Home,DEN,W,27 to 24,1,1,0.0,0.0,,,0.0,,,,,,,
2015-11-22,dwayneallen/2533046,"Allen, Dwayne",TE,2015,Regular Season,11,11/22,Away,ATL,W,24 to 21,1,1,1.0,7.0,7.0,7.0,0.0,,,,,,,
2015-11-29,dwayneallen/2533046,"Allen, Dwayne",TE,2015,Regular Season,12,11/29,Home,TB,W,25 to 12,1,1,2.0,19.0,9.5,11.0,0.0,,,,,,,
2015-12-06,dwayneallen/2533046,"Allen, Dwayne",TE,2015,Regular Season,13,12/06,Away,PIT,L,10 to 45,1,1,1.0,6.0,6.0,6.0,0.0,,,,,,,
2015-12-13,dwayneallen/2533046,"Allen, Dwayne",TE,2015,Regular Season,14,12/13,Away,JAC,L,16 to 51,1,1,2.0,-3.0,-1.5,6.0,0.0,,,,,,,
2015-12-20,dwayneallen/2533046,"Allen, Dwayne",TE,2015,Regular Season,15,12/20,Home,HOU,L,10 to 16,1,0,1.0,5.0,5.0,5.0,0.0,1.0,1.0,1.0,1.0,0.0,,
2015-12-27,dwayneallen/2533046,"Allen, Dwayne",TE,2015,Regular Season,16,12/27,Away,MIA,W,18 to 12,1,1,0.0,0.0,,,0.0,,,,,,,
2014-09-07,dwayneallen/2533046,"Allen, Dwayne",TE,2014,Regular Season,1,09/07,Away,DEN,L,24 to 31,1,1,4.0,64.0,16.0,41.0,1.0,,,,,,1.0,0.0
2014-09-15,dwayneallen/2533046,"Allen, Dwayne",TE,2014,Regular Season,2,09/15,Home,PHI,L,27 to 30,1,1,0.0,0.0,,,0.0,,,,,,,
2014-09-21,dwayneallen/2533046,"Allen, Dwayne",TE,2014,Regular Season,3,09/21,Away,JAC,W,44 to 17,1,1,4.0,43.0,10.8,22.0,1.0,,,,,,,
2014-09-28,dwayneallen/2533046,"Allen, Dwayne",TE,2014,Regular Season,4,09/28,Home,TEN,W,41 to 17,1,1,3.0,38.0,12.7,17.0,1.0,,,,,,,
2014-10-05,dwayneallen/2533046,"Allen, Dwayne",TE,2014,Regular Season,5,10/05,Home,BAL,W,20 to 13,1,1,4.0,59.0,14.8,28.0,1.0,,,,,,,
2014-10-09,dwayneallen/2533046,"Allen, Dwayne",TE,2014,Regular Season,6,10/09,Away,HOU,W,33 to 28,1,1,3.0,49.0,16.3,18.0,0.0,,,,,,,
2014-10-19,dwayneallen/2533046,"Allen, Dwayne",TE,2014,Regular Season,7,10/19,Home,CIN,W,27 to 0,1,1,3.0,52.0,17.3,32.0,1.0,,,,,,,
2014-10-26,dwayneallen/2533046,"Allen, Dwayne",TE,2014,Regular Season,8,10/26,Away,PIT,L,34 to 51,1,1,1.0,21.0,21.0,21.0,1.0,,,,,,,
2014-11-03,dwayneallen/2533046,"Allen, Dwayne",TE,2014,Regular Season,9,11/03,Away,NYG,W,40 to 24,1,1,4.0,48.0,12.0,35.0,1.0,,,,,,,
2014-11-16,dwayneallen/2533046,"Allen, Dwayne",TE,2014,Regular Season,11,11/16,Home,NE,L,20 to 42,1,1,,,,,,,,,,,,
2014-11-23,dwayneallen/2533046,"Allen, Dwayne",TE,2014,Regular Season,12,11/23,Home,JAC,W,23 to 3,0,0,,,,,,,,,,,,
2014-11-30,dwayneallen/2533046,"Allen, Dwayne",TE,2014,Regular Season,13,11/30,Home,WAS,W,49 to 27,0,0,,,,,,,,,,,,
2014-12-07,dwayneallen/2533046,"Allen, Dwayne",TE,2014,Regular Season,14,12/07,Away,CLE,W,25 to 24,1,1,1.0,5.0,5.0,5.0,0.0,,,,,,,
2014-12-14,dwayneallen/2533046,"Allen, Dwayne",TE,2014,Regular Season,15,12/14,Home,HOU,W,17 to 10,1,1,2.0,16.0,8.0,13.0,1.0,,,,,,,
2014-12-21,dwayneallen/2533046,"Allen, Dwayne",TE,2014,Regular Season,16,12/21,Away,DAL,L,7 to 42,1,1,0.0,0.0,,,0.0,,,,,,,
2014-12-28,dwayneallen/2533046,"Allen, Dwayne",TE,2014,Regular Season,17,12/28,Away,TEN,W,27 to 10,0,0,,,,,,,,,,,,
2013-09-08,dwayneallen/2533046,"Allen, Dwayne",TE,2013,Regular Season,1,09/08,Home,OAK,W,21 to 17,1,1,1.0,20.0,20.0,20.0,1.0,,,,,,,
2013-09-15,dwayneallen/2533046,"Allen, Dwayne",TE,2013,Regular Season,2,09/15,Home,MIA,L,20 to 24,0,0,,,,,,,,,,,,
2012-09-09,dwayneallen/2533046,"Allen, Dwayne",TE,2012,Regular Season,1,09/09,Away,CHI,L,21 to 41,1,1,,,,,,,,,,,,
2012-09-16,dwayneallen/2533046,"Allen, Dwayne",TE,2012,Regular Season,2,09/16,Home,MIN,W,23 to 20,1,1,1.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,,
2012-09-23,dwayneallen/2533046,"Allen, Dwayne",TE,2012,Regular Season,3,09/23,Home,JAC,L,17 to 22,1,1,5.0,35.0,7.0,17.0,0.0,,,,,,,
