gameDate,Player Id,Name,Position,Year,Season,Week,Game Date,Home or Away,Opponent,Outcome,Score,Games Played,Games Started,Receptions,Receiving Yards,Yards Per Reception,Longest Reception,Receiving TDs,Rushing Attempts,Rushing Yards,Yards Per Carry,Longest Rushing Run,Rushing TDs,Fumbles,Fumbles Lost
2015-01-03,davanteadams/2543495,"Adams, Davante",WR,2015,Regular Season,17,01/03,Home,MIN,L,13 to 20,1,0,4.0,54.0,13.5,24.0,0.0,,,,,,,
2014-09-04,davanteadams/2543495,"Adams, Davante",WR,2014,Regular Season,1,09/04,Away,SEA,L,16 to 36,1,0,,,,,,,,,,,,
2014-09-14,davanteadams/2543495,"Adams, Davante",WR,2014,Regular Season,2,09/14,Home,NYJ,W,31 to 24,1,0,5.0,50.0,10.0,24.0,0.0,,,,,,,
2014-09-21,davanteadams/2543495,"Adams, Davante",WR,2014,Regular Season,3,09/21,Away,DET,L,7 to 19,1,0,2.0,11.0,5.5,9.0,0.0,,,,,,,
2014-09-28,davanteadams/2543495,"Adams, Davante",WR,2014,Regular Season,4,09/28,Away,CHI,W,38 to 17,1,0,2.0,18.0,9.0,15.0,0.0,,,,,,,
2014-10-02,davanteadams/2543495,"Adams, Davante",WR,2014,Regular Season,5,10/02,Home,MIN,W,42 to 10,1,1,1.0,11.0,11.0,11.0,1.0,,,,,,,
2014-10-12,davanteadams/2543495,"Adams, Davante",WR,2014,Regular Season,6,10/12,Away,MIA,W,27 to 24,1,1,6.0,77.0,12.8,24.0,0.0,,,,,,,
2014-10-19,davanteadams/2543495,"Adams, Davante",WR,2014,Regular Season,7,10/19,Home,CAR,W,38 to 17,1,1,1.0,21.0,21.0,21.0,1.0,,,,,,,
2014-10-26,davanteadams/2543495,"Adams, Davante",WR,2014,Regular Season,8,10/26,Away,NO,L,23 to 44,1,1,7.0,75.0,10.7,16.0,0.0,,,,,,,
2014-11-09,davanteadams/2543495,"Adams, Davante",WR,2014,Regular Season,10,11/09,Home,CHI,W,55 to 14,1,0,1.0,10.0,10.0,10.0,0.0,,,,,,,
2014-11-16,davanteadams/2543495,"Adams, Davante",WR,2014,Regular Season,11,11/16,Home,PHI,W,53 to 20,1,1,2.0,13.0,6.5,7.0,1.0,,,,,,,
2014-11-23,davanteadams/2543495,"Adams, Davante",WR,2014,Regular Season,12,11/23,Away,MIN,W,24 to 21,1,1,1.0,10.0,10.0,10.0,0.0,,,,,,,
2014-11-30,davanteadams/2543495,"Adams, Davante",WR,2014,Regular Season,13,11/30,Home,NE,W,26 to 21,1,1,6.0,121.0,20.2,45.0,0.0,,,,,,,
2014-12-08,davanteadams/2543495,"Adams, Davante",WR,2014,Regular Season,14,12/08,Home,ATL,W,43 to 37,1,1,1.0,6.0,6.0,6.0,0.0,,,,,,,
2014-12-14,davanteadams/2543495,"Adams, Davante",WR,2014,Regular Season,15,12/14,Away,BUF,L,13 to 21,1,1,1.0,6.0,6.0,6.0,0.0,,,,,,,
2014-12-21,davanteadams/2543495,"Adams, Davante",WR,2014,Regular Season,16,12/21,Away,TB,W,20 to 3,1,1,2.0,17.0,8.5,9.0,0.0,,,,,,,
2014-12-28,davanteadams/2543495,"Adams, Davante",WR,2014,Regular Season,17,12/28,Home,DET,W,30 to 20,1,1,,,,,,,,,,,,
2017-12-31,quincyadeboyejo/2558906,"Adeboyejo, Quincy",WR,2017,Regular Season,17,12/31,Home,CIN,L,27 to 31,1,0,,,,,,,,,,,,
2017-09-10,nelsonagholor/2552600,"Agholor, Nelson",WR,2017,Regular Season,1,09/10,Away,WAS,W,30 to 17,1,0,6.0,86.0,14.3,58.0,1.0,,,,,,,
2017-09-17,nelsonagholor/2552600,"Agholor, Nelson",WR,2017,Regular Season,2,09/17,Away,KC,L,20 to 27,1,0,1.0,9.0,9.0,9.0,1.0,,,,,,,
2017-09-24,nelsonagholor/2552600,"Agholor, Nelson",WR,2017,Regular Season,3,09/24,Home,NYG,W,27 to 24,1,0,2.0,20.0,10.0,11.0,0.0,,,,,,,
2017-10-01,nelsonagholor/2552600,"Agholor, Nelson",WR,2017,Regular Season,4,10/01,Away,LAC,W,26 to 24,1,1,3.0,58.0,19.3,36.0,0.0,,,,,,,
2017-10-08,nelsonagholor/2552600,"Agholor, Nelson",WR,2017,Regular Season,5,10/08,Home,ARI,W,34 to 7,1,1,4.0,93.0,23.3,72.0,1.0,,,,,,,
2017-10-12,nelsonagholor/2552600,"Agholor, Nelson",WR,2017,Regular Season,6,10/12,Away,CAR,W,28 to 23,1,1,4.0,55.0,13.8,24.0,1.0,,,,,,,
2017-10-23,nelsonagholor/2552600,"Agholor, Nelson",WR,2017,Regular Season,7,10/23,Home,WAS,W,34 to 24,1,1,4.0,45.0,11.3,14.0,1.0,,,,,,,
2017-10-29,nelsonagholor/2552600,"Agholor, Nelson",WR,2017,Regular Season,8,10/29,Home,SF,W,33 to 10,1,1,3.0,26.0,8.7,17.0,0.0,,,,,,,
2017-11-05,nelsonagholor/2552600,"Agholor, Nelson",WR,2017,Regular Season,9,11/05,Home,DEN,W,51 to 23,1,0,2.0,36.0,18.0,35.0,0.0,,,,,,,
2017-11-19,nelsonagholor/2552600,"Agholor, Nelson",WR,2017,Regular Season,11,11/19,Away,DAL,W,37 to 9,1,0,1.0,-2.0,-2.0,-2.0,0.0,,,,,,,
2017-11-26,nelsonagholor/2552600,"Agholor, Nelson",WR,2017,Regular Season,12,11/26,Home,CHI,W,31 to 3,1,1,3.0,32.0,10.7,15.0,1.0,,,,,,,
2017-12-03,nelsonagholor/2552600,"Agholor, Nelson",WR,2017,Regular Season,13,12/03,Away,SEA,L,10 to 24,1,1,7.0,141.0,20.1,51.0,1.0,,,,,,,
2017-12-10,nelsonagholor/2552600,"Agholor, Nelson",WR,2017,Regular Season,14,12/10,Away,LA,W,43 to 35,1,1,8.0,64.0,8.0,18.0,0.0,,,,,,,
2017-12-17,nelsonagholor/2552600,"Agholor, Nelson",WR,2017,Regular Season,15,12/17,Away,NYG,W,34 to 29,1,1,7.0,59.0,8.4,16.0,1.0,,,,,,,
2017-12-25,nelsonagholor/2552600,"Agholor, Nelson",WR,2017,Regular Season,16,12/25,Home,OAK,W,19 to 10,1,1,4.0,35.0,8.8,12.0,0.0,,,,,,,
2017-12-31,nelsonagholor/2552600,"Agholor, Nelson",WR,2017,Regular Season,17,12/31,Home,DAL,L,0 to 6,1,0,3.0,11.0,3.7,7.0,0.0,1.0,7.0,7.0,7.0,0.0,,
2016-09-11,nelsonagholor/2552600,"Agholor, Nelson",WR,2016,Regular Season,1,09/11,Home,CLE,W,29 to 10,1,1,4.0,57.0,14.3,35.0,1.0,,,,,,,
2016-09-19,nelsonagholor/2552600,"Agholor, Nelson",WR,2016,Regular Season,2,09/19,Away,CHI,W,29 to 14,1,1,4.0,42.0,10.5,18.0,0.0,,,,,,,
2016-09-25,nelsonagholor/2552600,"Agholor, Nelson",WR,2016,Regular Season,3,09/25,Home,PIT,W,34 to 3,1,1,3.0,21.0,7.0,11.0,0.0,,,,,,,
2016-10-09,nelsonagholor/2552600,"Agholor, Nelson",WR,2016,Regular Season,5,10/09,Away,DET,L,23 to 24,1,1,2.0,27.0,13.5,18.0,0.0,1.0,5.0,5.0,5.0,0.0,,
2016-10-16,nelsonagholor/2552600,"Agholor, Nelson",WR,2016,Regular Season,6,10/16,Away,WAS,L,20 to 27,1,0,3.0,34.0,11.3,18.0,0.0,,,,,,,
2016-10-23,nelsonagholor/2552600,"Agholor, Nelson",WR,2016,Regular Season,7,10/23,Home,MIN,W,21 to 10,1,1,2.0,10.0,5.0,6.0,0.0,,,,,,,
2016-10-30,nelsonagholor/2552600,"Agholor, Nelson",WR,2016,Regular Season,8,10/30,Away,DAL,L,23 to 29,1,1,3.0,25.0,8.3,11.0,0.0,,,,,,,
2016-11-06,nelsonagholor/2552600,"Agholor, Nelson",WR,2016,Regular Season,9,11/06,Away,NYG,L,23 to 28,1,1,4.0,41.0,10.3,23.0,0.0,,,,,,1.0,0.0
2016-11-13,nelsonagholor/2552600,"Agholor, Nelson",WR,2016,Regular Season,10,11/13,Home,ATL,W,24 to 15,1,1,2.0,7.0,3.5,4.0,0.0,,,,,,,
2016-11-20,nelsonagholor/2552600,"Agholor, Nelson",WR,2016,Regular Season,11,11/20,Away,SEA,L,15 to 26,1,1,0.0,0.0,,,0.0,,,,,,,
2016-11-28,nelsonagholor/2552600,"Agholor, Nelson",WR,2016,Regular Season,12,11/28,Home,GB,L,13 to 27,0,0,,,,,,,,,,,,
2016-12-04,nelsonagholor/2552600,"Agholor, Nelson",WR,2016,Regular Season,13,12/04,Away,CIN,L,14 to 32,1,1,4.0,23.0,5.8,8.0,0.0,1.0,4.0,4.0,4.0,0.0,,
2016-12-11,nelsonagholor/2552600,"Agholor, Nelson",WR,2016,Regular Season,14,12/11,Home,WAS,L,22 to 27,1,1,2.0,22.0,11.0,13.0,0.0,,,,,,,
2016-12-18,nelsonagholor/2552600,"Agholor, Nelson",WR,2016,Regular Season,15,12/18,Away,BAL,L,26 to 27,1,1,1.0,9.0,9.0,9.0,0.0,1.0,1.0,1.0,1.0,0.0,,
2016-12-22,nelsonagholor/2552600,"Agholor, Nelson",WR,2016,Regular Season,16,12/22,Home,NYG,W,24 to 19,1,1,2.0,47.0,23.5,40.0,1.0,1.0,5.0,5.0,5.0,0.0,,
2016-01-01,nelsonagholor/2552600,"Agholor, Nelson",WR,2016,Regular Season,17,01/01,Home,DAL,W,27 to 13,1,1,,,,,,1.0,-1.0,-1.0,-1.0,0.0,,
2015-09-14,nelsonagholor/2552600,"Agholor, Nelson",WR,2015,Regular Season,1,09/14,Away,ATL,L,24 to 26,1,1,1.0,5.0,5.0,5.0,0.0,,,,,,,
2015-09-20,nelsonagholor/2552600,"Agholor, Nelson",WR,2015,Regular Season,2,09/20,Home,DAL,L,10 to 20,1,1,3.0,31.0,10.3,12.0,0.0,,,,,,,
2015-09-27,nelsonagholor/2552600,"Agholor, Nelson",WR,2015,Regular Season,3,09/27,Away,NYJ,W,24 to 17,1,1,0.0,0.0,,,0.0,,,,,,,
2015-10-04,nelsonagholor/2552600,"Agholor, Nelson",WR,2015,Regular Season,4,10/04,Away,WAS,L,20 to 23,1,1,3.0,64.0,21.3,45.0,0.0,,,,,,1.0,1.0
2015-10-11,nelsonagholor/2552600,"Agholor, Nelson",WR,2015,Regular Season,5,10/11,Home,NO,W,39 to 17,1,1,1.0,5.0,5.0,5.0,0.0,,,,,,,
2015-10-19,nelsonagholor/2552600,"Agholor, Nelson",WR,2015,Regular Season,6,10/19,Home,NYG,W,27 to 7,0,0,,,,,,,,,,,,
2015-10-25,nelsonagholor/2552600,"Agholor, Nelson",WR,2015,Regular Season,7,10/25,Away,CAR,L,16 to 27,0,0,,,,,,,,,,,,
2015-11-08,nelsonagholor/2552600,"Agholor, Nelson",WR,2015,Regular Season,9,11/08,Away,DAL,W,33 to 27,0,0,,,,,,,,,,,,
2015-11-15,nelsonagholor/2552600,"Agholor, Nelson",WR,2015,Regular Season,10,11/15,Home,MIA,L,19 to 20,1,0,3.0,32.0,10.7,21.0,0.0,,,,,,,
2015-11-22,nelsonagholor/2552600,"Agholor, Nelson",WR,2015,Regular Season,11,11/22,Home,TB,L,17 to 45,1,1,3.0,11.0,3.7,7.0,0.0,,,,,,,
2015-11-26,nelsonagholor/2552600,"Agholor, Nelson",WR,2015,Regular Season,12,11/26,Away,DET,L,14 to 45,1,1,2.0,15.0,7.5,12.0,0.0,,,,,,,
2015-12-06,nelsonagholor/2552600,"Agholor, Nelson",WR,2015,Regular Season,13,12/06,Away,NE,W,35 to 28,1,1,0.0,0.0,,,0.0,,,,,,,
2015-12-13,nelsonagholor/2552600,"Agholor, Nelson",WR,2015,Regular Season,14,12/13,Home,BUF,W,23 to 20,1,1,3.0,62.0,20.7,53.0,1.0,,,,,,,
2015-12-20,nelsonagholor/2552600,"Agholor, Nelson",WR,2015,Regular Season,15,12/20,Home,ARI,L,17 to 40,1,1,0.0,0.0,,,0.0,,,,,,,
2015-12-26,nelsonagholor/2552600,"Agholor, Nelson",WR,2015,Regular Season,16,12/26,Home,WAS,L,24 to 38,1,1,2.0,35.0,17.5,18.0,0.0,,,,,,,
2015-01-03,nelsonagholor/2552600,"Agholor, Nelson",WR,2015,Regular Season,17,01/03,Away,NYG,W,35 to 30,1,1,2.0,23.0,11.5,16.0,0.0,,,,,,,
2017-11-26,carltonagudosi/2559131,"Agudosi, Carlton",WR,2017,Regular Season,12,11/26,Home,JAX,W,27 to 24,0,0,,,,,,,,,,,,
2017-12-03,carltonagudosi/2559131,"Agudosi, Carlton",WR,2017,Regular Season,13,12/03,Home,LA,L,16 to 32,0,0,,,,,,,,,,,,
2017-12-10,carltonagudosi/2559131,"Agudosi, Carlton",WR,2017,Regular Season,14,12/10,Home,TEN,W,12 to 7,0,0,,,,,,,,,,,,
2017-09-10,kamaraiken/2530660,"Aiken, Kamar",WR,2017,Regular Season,1,09/10,Away,LA,L,9 to 46,1,0,1.0,3.0,3.0,3.0,0.0,,,,,,,
2017-09-17,kamaraiken/2530660,"Aiken, Kamar",WR,2017,Regular Season,2,09/17,Home,ARI,L,13 to 16,1,1,3.0,31.0,10.3,14.0,0.0,,,,,,,
2017-09-24,kamaraiken/2530660,"Aiken, Kamar",WR,2017,Regular Season,3,09/24,Home,CLE,W,31 to 28,1,1,1.0,9.0,9.0,9.0,0.0,,,,,,,
2017-10-01,kamaraiken/2530660,"Aiken, Kamar",WR,2017,Regular Season,4,10/01,Away,SEA,L,18 to 46,1,0,1.0,4.0,4.0,4.0,0.0,,,,,,,
2017-10-08,kamaraiken/2530660,"Aiken, Kamar",WR,2017,Regular Season,5,10/08,Home,SF,W,26 to 23,1,1,2.0,22.0,11.0,13.0,0.0,,,,,,,
2017-10-16,kamaraiken/2530660,"Aiken, Kamar",WR,2017,Regular Season,6,10/16,Away,TEN,L,22 to 36,1,1,2.0,21.0,10.5,14.0,0.0,,,,,,,
2017-10-22,kamaraiken/2530660,"Aiken, Kamar",WR,2017,Regular Season,7,10/22,Home,JAX,L,0 to 27,1,1,2.0,8.0,4.0,7.0,0.0,,,,,,,
2017-10-29,kamaraiken/2530660,"Aiken, Kamar",WR,2017,Regular Season,8,10/29,Away,CIN,L,23 to 24,1,1,2.0,33.0,16.5,21.0,0.0,,,,,,,
2017-11-05,kamaraiken/2530660,"Aiken, Kamar",WR,2017,Regular Season,9,11/05,Away,HOU,W,20 to 14,1,1,0.0,0.0,,,0.0,,,,,,,
2017-11-12,kamaraiken/2530660,"Aiken, Kamar",WR,2017,Regular Season,10,11/12,Home,PIT,L,17 to 20,0,0,,,,,,,,,,,,
2017-11-26,kamaraiken/2530660,"Aiken, Kamar",WR,2017,Regular Season,12,11/26,Home,TEN,L,16 to 20,1,0,,,,,,,,,,,,
2017-12-03,kamaraiken/2530660,"Aiken, Kamar",WR,2017,Regular Season,13,12/03,Away,JAX,L,10 to 30,1,0,0.0,0.0,,,0.0,,,,,,,
2017-12-10,kamaraiken/2530660,"Aiken, Kamar",WR,2017,Regular Season,14,12/10,Away,BUF,L,7 to 13,1,0,,,,,,,,,,,,
2017-12-14,kamaraiken/2530660,"Aiken, Kamar",WR,2017,Regular Season,15,12/14,Home,DEN,L,13 to 25,1,0,0.0,0.0,,,0.0,,,,,,,
2017-12-23,kamaraiken/2530660,"Aiken, Kamar",WR,2017,Regular Season,16,12/23,Away,BAL,L,16 to 23,1,0,0.0,0.0,,,0.0,,,,,,,
2017-12-31,kamaraiken/2530660,"Aiken, Kamar",WR,2017,Regular Season,17,12/31,Home,HOU,W,22 to 13,1,0,1.0,2.0,2.0,2.0,0.0,,,,,,,
2016-09-11,kamaraiken/2530660,"Aiken, Kamar",WR,2016,Regular Season,1,09/11,Home,BUF,W,13 to 7,1,0,2.0,14.0,7.0,16.0,0.0,,,,,,,
2016-09-18,kamaraiken/2530660,"Aiken, Kamar",WR,2016,Regular Season,2,09/18,Away,CLE,W,25 to 20,1,0,0.0,0.0,,,0.0,,,,,,,
2016-09-25,kamaraiken/2530660,"Aiken, Kamar",WR,2016,Regular Season,3,09/25,Away,JAX,W,19 to 17,1,0,1.0,5.0,5.0,5.0,0.0,,,,,,,
2016-10-02,kamaraiken/2530660,"Aiken, Kamar",WR,2016,Regular Season,4,10/02,Home,OAK,L,27 to 28,1,0,3.0,9.0,3.0,8.0,0.0,,,,,,,
