Player Id,Year,Position,Team,Games Played,Rushing Attempts,Rushing Attempts Per Game,Rushing Yards,Yards Per Carry,Rushing Yards Per Game,Rushing TDs,Longest Rushing Run,Rushing First Downs,Percentage of Rushing First Downs,Rushing More Than 20 Yards,Rushing More Than 40 Yards,Receptions,Receiving Yards,Yards Per Reception,Yards Per Game,Longest Reception,Receiving TDs,Receptions Longer than 20 Yards,Receptions Longer than 40 Yards,First Down Receptions,Fumbles,Fumbles Lost
ericebron/2543466,2015,TE,Detroit Lions,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,537.0,11.4,38.4,55.0,5.0,5.0,2.0,27.0,0.0,0.0
ericebron/2543466,2014,TE,Detroit Lions,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,248.0,9.9,19.1,22.0,1.0,1.0,0.0,14.0,0.0,0.0
rhettellison/2532835,2017,TE,New York Giants,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,235.0,9.8,14.7,27.0,2.0,1.0,0.0,13.0,0.0,0.0
rhettellison/2532835,2016,TE,Minnesota Vikings,15.0,1.0,0.1,1.0,1.0,0.1,1.0,1.0,1.0,100.0,0.0,0.0,9.0,57.0,6.3,3.8,21.0,0.0,1.0,0.0,2.0,0.0,0.0
rhettellison/2532835,2015,TE,Minnesota Vikings,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,124.0,11.3,8.3,41.0,1.0,2.0,1.0,5.0,0.0,0.0
rhettellison/2532835,2014,TE,Minnesota Vikings,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,208.0,10.9,13.0,40.0,1.0,3.0,1.0,12.0,0.0,0.0
rhettellison/2532835,2013,TE,Minnesota Vikings,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,61.0,12.2,5.5,17.0,1.0,0.0,0.0,4.0,0.0,0.0
rhettellison/2532835,2012,TE,Minnesota Vikings,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,65.0,9.3,4.1,29.0,0.0,1.0,0.0,2.0,0.0,0.0
evanengram/2557858,2017,TE,New York Giants,15.0,1.0,0.1,14.0,14.0,0.9,0.0,14.0,1.0,100.0,0.0,0.0,64.0,722.0,11.3,48.1,35.0,6.0,11.0,0.0,37.0,0.0,0.0
geraldeverett/2557889,2017,TE,Los Angeles Rams,16.0,1.0,0.1,13.0,13.0,0.8,0.0,13.0,1.0,100.0,0.0,0.0,16.0,244.0,15.3,15.2,69.0,2.0,4.0,2.0,7.0,1.0,1.0
jimmygraham/497236,2017,TE,Seattle Seahawks,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,520.0,9.1,32.5,33.0,10.0,8.0,0.0,32.0,0.0,0.0
jimmygraham/497236,2016,TE,Seattle Seahawks,16.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,923.0,14.2,57.7,42.0,6.0,10.0,2.0,45.0,2.0,2.0
jimmygraham/497236,2015,TE,Seattle Seahawks,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,605.0,12.6,55.0,45.0,2.0,11.0,1.0,29.0,0.0,0.0
jimmygraham/497236,2014,TE,New Orleans Saints,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,889.0,10.5,55.6,29.0,10.0,8.0,0.0,54.0,2.0,2.0
jimmygraham/497236,2013,TE,New Orleans Saints,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,1215.0,14.1,75.9,56.0,16.0,19.0,5.0,61.0,0.0,0.0
jimmygraham/497236,2012,TE,New Orleans Saints,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,982.0,11.6,65.5,46.0,9.0,12.0,1.0,59.0,1.0,0.0
jimmygraham/497236,2011,TE,New Orleans Saints,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,1310.0,13.2,81.9,59.0,11.0,18.0,2.0,74.0,1.0,1.0
jimmygraham/497236,2010,TE,New Orleans Saints,15.0,1.0,0.1,3.0,3.0,0.2,0.0,3.0,1.0,100.0,0.0,0.0,31.0,356.0,11.5,23.7,52.0,5.0,3.0,1.0,21.0,1.0,0.0
marqueisgray/2540259,2017,TE,Miami Dolphins,16.0,5.0,0.3,14.0,2.8,0.9,0.0,5.0,3.0,60.0,0.0,0.0,1.0,10.0,10.0,0.6,10.0,0.0,0.0,0.0,1.0,0.0,0.0
marqueisgray/2540259,2016,TE,Miami Dolphins,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,174.0,12.4,10.9,53.0,0.0,2.0,1.0,7.0,0.0,0.0
marqueisgray/2540259,2015,TE,Buffalo Bills,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0
marqueisgray/2540259,2014,TE,Buffalo Bills,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,118.0,14.8,23.6,41.0,0.0,2.0,1.0,3.0,0.0,0.0
marqueisgray/2540259,2014,TE,Minnesota Vikings,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,16.0,2.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0
marqueisgray/2540259,2013,TE,Cleveland Browns,12.0,6.0,0.5,43.0,7.2,3.6,0.0,18.0,3.0,50.0,0.0,0.0,2.0,8.0,4.0,0.7,5.0,0.0,0.0,0.0,0.0,0.0,0.0
virgilgreen/2495288,2017,TE,Denver Broncos,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,191.0,13.6,11.9,44.0,1.0,3.0,1.0,7.0,0.0,0.0
virgilgreen/2495288,2016,TE,Denver Broncos,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,237.0,10.8,19.8,31.0,1.0,2.0,0.0,13.0,0.0,0.0
virgilgreen/2495288,2015,TE,Denver Broncos,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,173.0,14.4,10.8,32.0,1.0,3.0,0.0,9.0,0.0,0.0
virgilgreen/2495288,2014,TE,Denver Broncos,13.0,2.0,0.2,3.0,1.5,0.2,0.0,3.0,0.0,0.0,0.0,0.0,6.0,74.0,12.3,5.7,38.0,1.0,1.0,0.0,5.0,0.0,0.0
virgilgreen/2495288,2013,TE,Denver Broncos,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,45.0,5.0,2.8,10.0,0.0,0.0,0.0,0.0,0.0,0.0
virgilgreen/2495288,2012,TE,Denver Broncos,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,63.0,12.6,5.2,28.0,0.0,1.0,0.0,4.0,0.0,0.0
virgilgreen/2495288,2011,TE,Denver Broncos,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,24.0,8.0,1.6,9.0,0.0,0.0,0.0,2.0,0.0,0.0
robgronkowski/497240,2017,TE,New England Patriots,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,1084.0,15.7,77.4,53.0,8.0,18.0,2.0,57.0,1.0,0.0
robgronkowski/497240,2016,TE,New England Patriots,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,540.0,21.6,67.5,53.0,3.0,12.0,1.0,19.0,0.0,0.0
robgronkowski/497240,2015,TE,New England Patriots,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,1176.0,16.3,78.4,76.0,11.0,22.0,5.0,52.0,0.0,0.0
robgronkowski/497240,2014,TE,New England Patriots,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,1124.0,13.7,74.9,46.0,12.0,19.0,1.0,60.0,0.0,0.0
robgronkowski/497240,2013,TE,New England Patriots,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,592.0,15.2,84.6,50.0,4.0,10.0,1.0,31.0,0.0,0.0
robgronkowski/497240,2012,TE,New England Patriots,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,790.0,14.4,71.8,41.0,11.0,13.0,1.0,45.0,1.0,1.0
robgronkowski/497240,2011,TE,New England Patriots,16.0,1.0,0.1,2.0,2.0,0.1,1.0,2.0,1.0,100.0,0.0,0.0,90.0,1327.0,14.7,82.9,52.0,17.0,22.0,3.0,69.0,0.0,0.0
